ts,user_id_hash,ip_hash,ua_family,device_type,country_ip,asn_ip,device_seen_before_user,cookie_seen_before_user,attempts_1m_by_ip,attempts_5m_by_ip,attempts_1m_by_user,attempts_5m_by_user,fail_ratio_10m_by_ip,burst_length_ip,inter_attempt_ms_ip,geo_velocity_user,y
2025-09-10T10:02:00,uX77,ipZ276,Unknown,desktop,BR,asn11,0,0,12,66,7,20,0.854282791,18,188,11409.10812,1
2025-09-10T10:02:01,u1,ip22,Chrome,mobile,AU,asn3,1,1,1,5,1,3,0.121067578,1,8113,19.76123119,0
2025-09-10T10:02:18,u33,ip118,Unknown,mobile,AU,asn5,1,1,1,2,1,2,0.172205258,1,13311,44.15129043,0
2025-09-10T10:02:21,uX94,ipZ92,Unknown,mobile,RU,asn6,0,0,26,89,12,27,0.863853617,14,240,4821.024054,1
2025-09-10T10:02:38,u25,ip119,Firefox,desktop,AU,asn1,1,1,1,1,1,1,0.024834676,1,9178,35.47386344,0
2025-09-10T10:02:38,uX204,ipZ77,Unknown,desktop,AU,asn10,0,0,19,51,11,24,0.870890139,24,215,13755.12548,1
2025-09-10T10:02:50,u54,ip69,Safari,desktop,AU,asn5,1,1,0,0,0,1,0.138145095,1,9530,11.97807095,0
2025-09-10T10:02:52,uX91,ipZ114,Unknown,desktop,CN,asn6,0,0,39,93,13,26,0.88312856,25,99,5267.167215,1
2025-09-10T10:03:01,uX68,ipZ120,Unknown,desktop,RU,asn9,0,0,25,70,14,38,0.920237177,19,78,912.880893,1
2025-09-10T10:03:06,u74,ip15,Chrome,mobile,AU,asn5,1,1,0,0,0,1,0.167116066,1,7095,20.37638945,0
2025-09-10T10:03:17,uX138,ipZ79,Firefox,desktop,BR,asn11,0,0,24,70,7,29,0.930190196,20,201,12574.94699,1
2025-09-10T10:03:21,u1,ip28,Chrome,desktop,AU,asn2,1,0,0,2,0,1,0.077922456,2,5294,8.003054832,0
2025-09-10T10:03:32,u7,ip12,Firefox,desktop,AU,asn5,1,0,0,1,0,2,0.093522987,1,7057,39.25125274,0
2025-09-10T10:03:36,uX43,ipZ132,Unknown,mobile,RU,asn9,0,0,27,101,8,23,0.999964706,11,31,3856.055545,1
2025-09-10T10:03:48,uX117,ipZ41,Firefox,mobile,CN,asn7,0,0,33,86,9,25,0.840685387,22,115,14330.48649,1
2025-09-10T10:03:49,u33,ip75,Firefox,desktop,AU,asn5,1,1,0,2,0,1,0.129272505,4,9002,9.071966783,0
2025-09-10T10:04:03,u78,ip85,Edge,mobile,AU,asn2,1,0,0,1,0,1,0.024778624,1,11345,66.38329867,0
2025-09-10T10:04:07,uX250,ipZ213,Firefox,mobile,CN,asn13,0,0,37,84,6,26,0.898699721,36,92,7951.162784,1
2025-09-10T10:04:17,uX59,ipZ123,Chrome,desktop,CN,asn8,0,0,16,73,6,28,0.96283118,26,71,10965.16011,1
2025-09-10T10:04:19,u1,ip65,Safari,desktop,AU,asn2,1,1,2,3,2,3,0.268740946,1,8753,9.187871281,0
2025-09-10T10:04:31,uX247,ipZ89,Unknown,desktop,BR,asn13,0,0,11,72,13,28,1,19,232,7551.112968,1
2025-09-10T10:04:33,u4,ip59,Chrome,desktop,AU,asn4,1,1,0,1,1,3,0.019197644,1,5389,60.47480133,0
2025-09-10T10:04:48,uX11,ipZ225,Unknown,desktop,CN,asn12,0,0,22,63,13,35,0.932194218,13,257,3951.95033,1
2025-09-10T10:04:51,u64,ip88,Unknown,desktop,AU,asn2,1,1,1,1,0,0,0.12505693,1,3725,23.21085639,0
2025-09-10T10:05:01,uX273,ipZ122,Chrome,desktop,RU,asn10,0,0,37,105,6,16,0.877171995,27,285,2933.241669,1
2025-09-10T10:05:01,u72,ip110,Chrome,desktop,NZ,asn4,1,0,1,1,0,2,0.091018849,1,7567,28.05740912,0
2025-09-10T10:05:20,uX276,ipZ99,Chrome,desktop,CN,asn11,0,0,34,69,9,24,0.805915368,30,239,5819.381895,1
2025-09-10T10:05:22,u21,ip59,Chrome,desktop,AU,asn4,1,0,1,2,1,1,0.026413397,1,9618,33.49474189,0
2025-09-10T10:05:32,u5,ip66,Chrome,mobile,AU,asn1,1,1,1,2,1,1,0.180605269,1,13939,8.637847193,0
2025-09-10T10:05:33,uX207,ipZ37,Unknown,desktop,BR,asn6,0,0,10,69,9,30,0.88582371,23,59,3383.092975,1
2025-09-10T10:05:46,u41,ip64,Firefox,desktop,AU,asn2,1,1,1,3,1,1,0.117697553,1,5931,66.61548708,0
2025-09-10T10:05:50,uX33,ipZ215,Unknown,mobile,RU,asn8,0,0,16,86,7,31,0.912113542,35,280,13489.14976,1
2025-09-10T10:06:03,uX253,ipZ277,Chrome,mobile,CN,asn12,0,0,39,99,7,28,0.873688688,36,222,12985.42974,1
2025-09-10T10:06:06,u53,ip30,Chrome,desktop,AU,asn3,1,1,0,0,1,2,0.040109366,1,10334,2.729696715,0
2025-09-10T10:06:17,u8,ip30,Unknown,mobile,AU,asn2,1,1,2,3,0,0,0.037630118,1,14547,6.46037346,0
2025-09-10T10:06:24,uX194,ipZ92,Unknown,mobile,RU,asn7,0,0,31,60,13,29,0.982541523,32,102,9380.106743,1
2025-09-10T10:06:30,u42,ip48,Edge,desktop,AU,asn1,1,1,0,0,1,3,0.082667737,1,6853,31.37697635,0
2025-09-10T10:06:35,uX168,ipZ238,Unknown,desktop,AU,asn13,0,0,32,63,12,27,0.90912263,31,279,13842.07633,1
2025-09-10T10:06:50,u11,ip36,Chrome,desktop,NZ,asn1,1,1,2,3,2,2,0.028193662,1,6221,10.00836199,0
2025-09-10T10:06:54,uX207,ipZ278,Unknown,desktop,RU,asn11,0,0,17,40,9,23,0.876945715,19,283,1858.833493,1
2025-09-10T10:07:02,u48,ip42,Chrome,desktop,NZ,asn4,0,0,1,2,1,2,0.125229534,1,3298,5.493710114,0
2025-09-10T10:07:07,uX30,ipZ256,Unknown,desktop,AU,asn12,0,0,16,45,5,29,0.888200318,21,151,12335.1208,1
2025-09-10T10:07:24,uX261,ipZ84,Unknown,desktop,CN,asn7,0,0,11,53,5,18,0.864291656,16,26,2014.29084,1
2025-09-10T10:07:24,u48,ip113,Firefox,desktop,AU,asn1,1,1,0,2,0,0,0.074686286,1,6686,17.12386297,0
2025-09-10T10:07:30,u33,ip23,Chrome,desktop,AU,asn2,1,1,2,2,1,1,0.0200933,1,12470,14.89111852,0
2025-09-10T10:07:36,uX156,ipZ131,Unknown,desktop,RU,asn6,0,0,27,63,14,31,0.869333301,26,144,12756.29092,1
2025-09-10T10:07:46,u38,ip1,Chrome,mobile,AU,asn5,1,0,2,3,0,3,0.077915274,2,6903,41.6579667,0
2025-09-10T10:07:49,uX75,ipZ274,Unknown,mobile,AU,asn14,0,0,37,74,9,20,0.835068871,39,96,13635.85636,1
2025-09-10T10:08:00,uX250,ipZ147,Firefox,desktop,RU,asn8,0,0,33,70,10,29,0.946424837,23,279,12277.63953,1
2025-09-10T10:08:02,u6,ip44,Chrome,desktop,AU,asn3,1,1,0,1,1,2,0.065752244,1,10312,24.74986642,0
2025-09-10T10:08:16,uX192,ipZ179,Unknown,desktop,BR,asn10,0,0,21,41,9,33,0.899230958,24,50,871.6462663,1
2025-09-10T10:08:20,u32,ip39,Chrome,desktop,AU,asn4,1,1,1,1,1,2,0.025030886,1,6761,72.13662827,0
2025-09-10T10:08:37,u47,ip45,Firefox,mobile,AU,asn3,1,1,2,2,0,2,0.097426378,1,5579,47.33271613,0
2025-09-10T10:08:39,uX251,ipZ61,Chrome,mobile,RU,asn10,0,0,22,66,10,32,0.923026051,14,29,12670.46101,1
2025-09-10T10:08:46,u32,ip38,Edge,desktop,AU,asn5,1,0,1,3,1,1,0.165934027,1,6069,1.14979666,0
2025-09-10T10:08:50,uX49,ipZ207,Unknown,desktop,BR,asn11,0,0,18,80,13,23,0.887939588,15,92,1952.952768,1
2025-09-10T10:09:00,u72,ip90,Safari,mobile,US,asn3,1,0,1,2,0,1,0.091283058,1,5842,54.85847434,0
2025-09-10T10:09:07,uX107,ipZ260,Unknown,desktop,BR,asn6,0,0,15,50,11,26,0.854702396,10,142,11184.95381,1
2025-09-10T10:09:17,u17,ip12,Chrome,desktop,AU,asn1,1,1,2,2,0,0,0.023772692,1,13088,29.00350695,0
2025-09-10T10:09:20,uX92,ipZ155,Chrome,mobile,RU,asn14,0,0,10,42,8,32,0.934771926,11,203,12179.21572,1
2025-09-10T10:09:30,uX104,ipZ86,Unknown,mobile,RU,asn10,0,0,34,80,14,27,0.909660687,17,83,12860.64816,1
2025-09-10T10:09:31,u34,ip89,Safari,mobile,AU,asn5,1,1,0,1,1,2,0.009612365,1,5886,41.9362172,0
2025-09-10T10:09:48,uX168,ipZ52,Firefox,mobile,AU,asn14,0,0,10,83,12,30,0.901626116,26,141,1710.875491,1
2025-09-10T10:09:52,u53,ip8,Chrome,mobile,AU,asn4,0,1,1,2,1,2,0.063866778,1,6095,4.287295767,0
2025-09-10T10:10:03,uX176,ipZ241,Unknown,desktop,CN,asn10,0,0,17,61,10,34,0.926463693,14,275,4370.039981,1
2025-09-10T10:10:03,u28,ip9,Chrome,desktop,AU,asn4,1,1,0,1,2,2,0.064571672,1,9137,7.45187418,0
2025-09-10T10:10:20,u7,ip16,Firefox,mobile,AU,asn1,1,0,1,1,0,0,0.050933114,1,8302,39.72873956,0
2025-09-10T10:10:23,uX146,ipZ262,Unknown,mobile,RU,asn8,0,0,10,68,9,29,0.867839282,13,238,3850.656776,1
2025-09-10T10:10:30,uX80,ipZ220,Unknown,mobile,BR,asn8,0,0,24,64,8,32,0.925692735,29,135,10973.07162,1
2025-09-10T10:10:35,u65,ip117,Unknown,mobile,AU,asn3,1,1,1,4,0,2,0.029221349,1,6528,76.72018131,0
2025-09-10T10:10:45,u2,ip105,Chrome,desktop,NZ,asn1,1,1,1,2,0,0,0.386140953,3,8920,18.86015851,0
2025-09-10T10:10:46,uX151,ipZ179,Firefox,desktop,CN,asn8,0,0,11,56,14,26,0.904951872,23,67,804.7398658,1
2025-09-10T10:11:01,u54,ip14,Chrome,mobile,AU,asn3,1,1,2,3,1,1,0.206707751,1,2938,0.693111873,0
2025-09-10T10:11:03,uX40,ipZ108,Unknown,desktop,BR,asn10,0,0,35,57,12,24,0.921218693,39,236,4764.729513,1
2025-09-10T10:11:15,u2,ip91,Firefox,mobile,AU,asn1,1,1,0,2,1,1,0.236041613,1,8363,2.788678732,0
2025-09-10T10:11:18,uX161,ipZ228,Firefox,desktop,RU,asn7,0,0,24,53,11,35,0.827386305,27,118,14355.1724,1
2025-09-10T10:11:31,u76,ip55,Firefox,desktop,AU,asn2,1,1,1,1,0,1,0.127040744,1,5236,11.86481231,0
2025-09-10T10:11:31,uX256,ipZ147,Unknown,mobile,RU,asn8,0,0,16,50,13,31,0.933947821,11,140,14074.00203,1
2025-09-10T10:11:54,uX168,ipZ211,Unknown,desktop,RU,asn6,0,0,37,98,8,27,0.93604903,30,73,3880.225972,1
2025-09-10T10:11:54,u21,ip86,Safari,desktop,NZ,asn4,1,0,2,3,0,2,0.066065711,1,11715,51.39845427,0
2025-09-10T10:12:02,u36,ip39,Edge,desktop,AU,asn2,1,1,1,2,1,2,0.363847003,1,5067,81.14272014,0
2025-09-10T10:12:02,uX212,ipZ215,Unknown,desktop,AU,asn7,0,0,16,78,8,21,0.851911034,20,154,3570.334669,1
2025-09-10T10:12:17,uX280,ipZ217,Firefox,mobile,CN,asn11,0,0,24,62,13,30,0.880392167,21,44,7506.016836,1
2025-09-10T10:12:23,u44,ip110,Safari,mobile,AU,asn4,1,1,0,1,1,2,0.015774659,2,14523,52.97709589,0
2025-09-10T10:12:37,u1,ip104,Firefox,mobile,US,asn5,1,1,2,4,1,1,0.127529294,1,6254,1.840839747,0
2025-09-10T10:12:49,u22,ip45,Edge,desktop,AU,asn4,1,1,2,2,0,0,0.422132611,1,3932,45.3535166,0
2025-09-10T10:13:07,u72,ip50,Safari,desktop,AU,asn2,0,1,1,1,1,1,0.08258442,2,6683,34.85265607,0
2025-09-10T10:13:16,u52,ip47,Firefox,desktop,AU,asn1,1,1,0,0,1,2,0.049893207,1,5710,29.87406611,0
2025-09-10T10:13:33,u76,ip51,Edge,desktop,AU,asn5,1,0,1,3,1,1,0.199949648,1,8865,75.24628336,0
2025-09-10T10:13:54,u15,ip5,Unknown,desktop,AU,asn3,1,1,0,1,0,1,0.089393181,1,5745,54.31011334,0
2025-09-10T10:14:09,u16,ip86,Unknown,mobile,AU,asn2,1,1,3,4,1,1,0.15937445,1,7614,31.52086686,0
2025-09-10T10:14:22,u71,ip35,Chrome,desktop,AU,asn5,1,1,0,2,0,0,0.006013885,1,6275,58.48096393,0
2025-09-10T10:14:30,u48,ip97,Firefox,desktop,AU,asn2,1,1,0,2,1,3,0.142488251,1,9752,26.16955144,0
2025-09-10T10:14:52,u38,ip10,Firefox,desktop,AU,asn2,1,1,2,3,1,2,0.048163898,1,5764,44.72427419,0
2025-09-10T10:15:07,u17,ip64,Safari,desktop,AU,asn2,0,1,2,2,0,0,0.051061602,1,6489,21.8600066,0
2025-09-10T10:15:18,u27,ip9,Firefox,desktop,AU,asn2,1,0,1,2,0,1,0.004617847,2,4092,74.02799629,0
2025-09-10T10:15:30,u18,ip43,Chrome,desktop,AU,asn5,1,0,0,0,1,3,0.091057276,1,9448,74.17426535,0
2025-09-10T10:15:51,u75,ip88,Firefox,desktop,AU,asn5,1,1,0,1,1,2,0.024783056,1,7538,9.00656197,0
2025-09-10T10:16:03,u14,ip45,Chrome,desktop,AU,asn1,0,1,1,1,1,1,0.007400981,1,4559,21.8248676,0
2025-09-10T10:16:20,u14,ip14,Chrome,desktop,AU,asn5,1,1,1,2,1,1,0.075595032,1,4947,19.15322354,0
2025-09-10T10:16:31,u42,ip115,Firefox,mobile,AU,asn2,1,1,1,3,0,2,0.114156948,1,8391,3.660175505,0
2025-09-10T10:16:46,u47,ip83,Chrome,desktop,AU,asn3,1,1,2,3,0,1,0.069332887,1,7646,35.42578638,0
2025-09-10T10:17:02,u67,ip63,Chrome,desktop,US,asn3,1,0,2,5,1,2,0.082225998,2,10547,34.27260959,0
2025-09-10T10:17:18,u39,ip100,Chrome,desktop,NZ,asn4,1,0,0,0,1,2,0.072448137,1,4229,32.69509007,0
2025-09-10T10:17:39,u73,ip110,Chrome,mobile,AU,asn4,1,1,1,3,0,2,0.078571919,1,8272,6.86362453,0
2025-09-10T10:17:52,u58,ip48,Firefox,desktop,AU,asn4,1,1,1,3,2,2,0.092861269,1,14036,30.55875035,0
2025-09-10T10:18:06,u58,ip76,Chrome,mobile,AU,asn2,1,1,0,0,2,3,0.376369441,1,5730,37.30597101,0
2025-09-10T10:18:17,u45,ip118,Firefox,desktop,AU,asn5,1,0,2,4,1,2,0.006171655,1,12652,5.097759917,0
2025-09-10T10:18:39,u29,ip113,Safari,mobile,AU,asn4,1,1,1,1,1,3,0.121396244,1,7353,51.01115244,0
2025-09-10T10:18:50,u52,ip43,Chrome,mobile,US,asn4,1,1,2,3,0,0,0.003336197,1,10822,7.074643138,0
2025-09-10T10:19:07,u64,ip96,Safari,desktop,AU,asn3,1,0,1,1,0,1,0.116575359,1,9759,7.757904475,0
2025-09-10T10:19:18,u58,ip42,Firefox,mobile,AU,asn3,1,1,0,1,1,2,0.332501179,1,9035,52.18997389,0
2025-09-10T10:19:35,u13,ip36,Safari,desktop,AU,asn3,1,1,1,1,1,1,0.01756096,1,6334,65.67146982,0
2025-09-10T10:19:52,u73,ip119,Safari,mobile,AU,asn5,1,1,3,3,0,0,0.084868353,1,4255,4.588026711,0
2025-09-10T10:20:08,u45,ip3,Firefox,mobile,AU,asn2,1,0,0,0,0,1,0.1700718,1,6404,70.53902229,0
2025-09-10T10:20:18,u40,ip75,Unknown,desktop,AU,asn2,1,1,2,3,0,2,0.007886487,1,5979,16.0790898,0
2025-09-10T10:20:32,u61,ip1,Firefox,mobile,AU,asn1,0,1,0,0,1,2,0.070917365,3,5346,26.38378805,0
2025-09-10T10:20:45,u67,ip73,Chrome,desktop,AU,asn2,0,0,2,2,1,3,0.003305411,1,6839,17.12890967,0
2025-09-10T10:21:03,u25,ip116,Chrome,desktop,AU,asn1,1,1,0,1,1,3,0.081239315,1,7221,31.39147223,0
2025-09-10T10:21:19,u44,ip100,Chrome,desktop,AU,asn4,0,1,0,0,0,1,0.047847106,1,2897,47.91627329,0
2025-09-10T10:21:36,u38,ip8,Chrome,mobile,AU,asn3,1,1,5,5,0,0,0.049282991,1,12669,13.71043472,0
2025-09-10T10:21:45,u12,ip38,Safari,desktop,AU,asn5,0,1,0,0,1,2,0.036159785,2,3736,38.23914191,0
2025-09-10T10:22:04,u20,ip58,Chrome,desktop,AU,asn4,0,1,1,2,0,1,0.158772098,1,7745,39.50677082,0
2025-09-10T10:22:20,u65,ip42,Safari,desktop,US,asn1,1,1,0,2,1,1,0.034567889,1,7870,37.41304261,0
2025-09-10T10:22:38,u41,ip94,Edge,desktop,AU,asn4,1,1,0,1,1,1,0.379817806,1,9070,2.341845222,0
2025-09-10T10:22:52,u50,ip114,Chrome,mobile,AU,asn5,0,0,1,3,1,1,0.040488764,1,9425,7.299344357,0
2025-09-10T10:23:04,u41,ip86,Chrome,desktop,AU,asn4,1,1,1,1,1,3,0.125175026,4,9092,45.40527307,0
2025-09-10T10:23:22,u50,ip7,Edge,mobile,AU,asn4,1,1,2,3,0,0,0.308005698,1,9698,14.19894683,0
2025-09-10T10:23:34,u66,ip113,Chrome,desktop,AU,asn4,1,1,0,1,0,3,0.280709046,1,5938,37.49305899,0
2025-09-10T10:23:46,u10,ip39,Safari,desktop,US,asn4,1,1,0,1,1,2,0.42123423,1,8498,36.19692941,0
2025-09-10T10:24:03,u15,ip54,Edge,mobile,US,asn4,1,1,0,2,0,0,0.010762832,1,10195,9.631739019,0
2025-09-10T10:24:19,u19,ip61,Chrome,desktop,AU,asn2,0,1,1,2,0,0,0.188042047,1,5073,9.259573554,0
2025-09-10T10:24:39,u79,ip55,Chrome,desktop,AU,asn2,1,1,0,0,2,3,0.082821699,1,4444,37.51428123,0
2025-09-10T10:24:48,u12,ip118,Safari,mobile,AU,asn4,1,1,1,1,0,0,0.361265949,1,7070,12.98387038,0
2025-09-10T10:25:01,u5,ip7,Unknown,desktop,AU,asn4,1,1,0,0,0,1,0.021218325,3,7248,44.17458015,0
2025-09-10T10:25:15,u60,ip5,Edge,desktop,US,asn4,1,1,1,2,0,0,0.04095515,1,5765,12.97774438,0
2025-09-10T10:25:38,u19,ip93,Safari,desktop,NZ,asn1,1,1,0,3,1,1,0.046321759,1,9305,11.17771367,0
2025-09-10T10:25:49,u66,ip13,Safari,desktop,US,asn3,1,0,1,2,0,3,0.0545818,1,12184,34.11270312,0
2025-09-10T10:26:09,u45,ip3,Firefox,mobile,AU,asn1,1,1,0,1,0,1,0.180833861,1,8291,23.4267648,0
2025-09-10T10:26:24,u47,ip75,Chrome,desktop,AU,asn1,1,1,0,4,0,1,0.123861004,1,4350,8.76500298,0
2025-09-10T10:26:34,u43,ip94,Chrome,desktop,AU,asn3,1,0,1,2,1,2,0.117233259,3,7793,54.44419149,0
2025-09-10T10:26:45,u7,ip64,Chrome,desktop,AU,asn3,1,1,4,5,2,3,0.032533631,1,6790,58.87374452,0
2025-09-10T10:27:05,u7,ip57,Chrome,desktop,AU,asn5,1,1,0,0,0,0,0.005257647,2,8037,28.71955522,0
2025-09-10T10:27:21,u50,ip61,Chrome,mobile,AU,asn1,1,1,0,0,0,1,0.189254282,1,813,36.36579009,0
2025-09-10T10:27:36,u5,ip58,Firefox,desktop,AU,asn2,1,0,1,2,0,1,0.0415229,1,9617,28.28177298,0
2025-09-10T10:27:50,u46,ip97,Firefox,mobile,AU,asn3,1,1,1,2,1,2,0.151314671,3,9200,51.68871421,0
2025-09-10T10:28:00,u78,ip24,Unknown,desktop,AU,asn4,1,0,3,3,0,0,0.127763641,3,5919,44.03586393,0
2025-09-10T10:28:24,u16,ip80,Chrome,mobile,NZ,asn5,1,1,2,3,0,2,0.03993625,2,500,61.75606313,0
2025-09-10T10:28:35,u16,ip6,Edge,desktop,AU,asn2,1,1,0,1,1,2,0.098220735,2,5419,8.846649975,0
2025-09-10T10:28:48,u39,ip70,Edge,mobile,AU,asn2,1,1,2,2,0,0,0.096222453,1,8753,46.40285162,0
2025-09-10T10:29:02,u44,ip69,Firefox,desktop,US,asn4,0,1,2,4,0,0,0.04918648,1,4412,52.57529341,0
2025-09-10T10:29:15,u26,ip77,Safari,desktop,AU,asn1,1,1,1,2,1,3,0.047617353,1,10176,70.62817308,0
2025-09-10T10:29:32,u68,ip62,Chrome,desktop,AU,asn4,1,0,0,1,2,3,0.086827741,1,8401,64.20154363,0
2025-09-10T10:29:49,u37,ip7,Chrome,desktop,NZ,asn3,1,1,0,1,0,0,0.113383724,1,9818,52.81485776,0
2025-09-10T10:30:00,u74,ip88,Unknown,desktop,AU,asn2,1,1,0,1,0,2,0.015464713,1,1764,31.97977347,0
2025-09-10T10:30:22,u48,ip14,Firefox,mobile,AU,asn5,1,1,2,6,0,2,0.152201355,1,9191,13.10479843,0
2025-09-10T10:30:38,u29,ip18,Firefox,desktop,AU,asn3,0,1,2,3,0,1,0.064278481,1,6715,24.06268147,0
2025-09-10T10:30:51,u40,ip80,Chrome,mobile,AU,asn2,1,1,1,3,1,1,0.051025258,2,8313,46.70778881,0
2025-09-10T10:31:03,u9,ip43,Firefox,mobile,AU,asn5,1,1,1,5,1,2,0.188313395,3,1781,67.99679227,0
2025-09-10T10:31:17,u33,ip9,Safari,desktop,AU,asn2,1,1,2,2,0,0,0.088404684,1,13712,40.96487674,0
2025-09-10T10:31:35,u42,ip78,Chrome,desktop,US,asn2,1,0,1,1,0,1,0.269600365,1,11911,12.60905463,0
2025-09-10T10:31:45,u39,ip5,Unknown,desktop,AU,asn3,1,1,1,1,2,3,0.061223374,1,6942,6.299261342,0
2025-09-10T10:32:06,u62,ip37,Chrome,mobile,AU,asn4,1,1,1,1,1,2,0.023159953,1,11543,38.30394766,0
2025-09-10T10:32:17,u68,ip25,Chrome,desktop,US,asn4,1,1,3,4,1,2,0.054572202,5,8800,45.09745039,0
2025-09-10T10:32:34,u53,ip5,Chrome,desktop,NZ,asn3,1,1,0,0,0,1,0.175729957,1,8148,52.86302421,0
2025-09-10T10:32:54,u63,ip47,Safari,desktop,AU,asn4,1,1,2,3,1,4,0.131476933,1,6948,75.27530942,0
2025-09-10T10:33:05,u1,ip99,Unknown,desktop,AU,asn1,1,1,2,4,0,2,0.075870552,1,11495,16.9209889,0
2025-09-10T10:33:24,u44,ip89,Chrome,desktop,AU,asn4,1,1,0,1,1,1,0.064658876,1,5322,8.697621355,0
2025-09-10T10:33:38,u78,ip101,Edge,desktop,AU,asn3,1,1,3,4,1,2,0.086733058,2,813,8.385345365,0
2025-09-10T10:33:45,u40,ip19,Chrome,mobile,NZ,asn4,1,0,0,0,0,1,0.027605528,3,13611,9.691721031,0
2025-09-10T10:34:03,u9,ip101,Safari,mobile,US,asn4,1,0,0,1,0,0,0.052832688,3,7929,31.99421509,0
2025-09-10T10:34:21,u52,ip61,Chrome,desktop,AU,asn1,1,1,1,2,1,2,0.00758875,1,5670,18.04585157,0
2025-09-10T10:34:38,u51,ip22,Edge,desktop,US,asn2,1,1,2,2,0,2,0.029711205,4,11060,10.40494329,0
2025-09-10T10:34:52,u30,ip24,Edge,mobile,NZ,asn4,1,1,1,2,0,0,0.157672871,1,9370,47.581627,0
2025-09-10T10:35:09,u43,ip90,Edge,mobile,AU,asn5,1,1,1,3,0,1,0.048571897,1,4914,54.62942952,0
2025-09-10T10:35:21,u67,ip85,Chrome,desktop,AU,asn4,1,1,1,1,0,1,0.083962595,1,9007,77.11020135,0
2025-09-10T10:35:32,u31,ip70,Firefox,mobile,AU,asn5,1,1,2,3,0,1,0.05819568,1,7142,24.54413589,0
2025-09-10T10:35:54,u75,ip78,Firefox,mobile,NZ,asn3,1,1,2,2,0,1,0.388165858,1,10352,36.11377191,0
2025-09-10T10:36:00,u8,ip96,Chrome,mobile,NZ,asn5,1,1,2,3,0,2,0.012555396,1,8157,33.41226734,0
2025-09-10T10:36:21,u77,ip96,Edge,desktop,AU,asn3,1,1,1,1,0,1,0.151167205,4,8348,83.95430845,0
2025-09-10T10:36:36,u71,ip79,Chrome,desktop,AU,asn3,0,1,0,1,0,1,0.016271482,1,12772,32.25791548,0
2025-09-10T10:36:45,u25,ip79,Safari,mobile,AU,asn3,1,1,0,2,1,1,0.397551632,1,8247,51.15679258,0
2025-09-10T10:37:02,u9,ip8,Edge,desktop,AU,asn1,1,1,2,2,0,1,0.038362749,2,10735,68.93662701,0
2025-09-10T10:37:21,u40,ip94,Chrome,mobile,NZ,asn3,1,0,0,2,1,1,0.02803542,1,7001,54.59975213,0
2025-09-10T10:37:33,u38,ip93,Unknown,desktop,AU,asn4,1,0,1,2,0,0,0.320571483,1,10769,47.35476574,0
2025-09-10T10:37:53,u69,ip7,Chrome,desktop,AU,asn3,1,1,1,2,0,1,0.155791716,8,7015,15.03580393,0
2025-09-10T10:38:09,u70,ip64,Chrome,mobile,AU,asn2,1,1,0,1,0,0,0.116855394,3,10659,55.61982305,0
